"AboutMe","AccountEnabled","Activities","AgeGroup","AgreementAcceptances","AppRoleAssignments","AssignedLicenses","AssignedPlans","Authentication","AuthorizationInfo","Birthday","BusinessPhones","Calendar","CalendarGroups","CalendarView","Calendars","Chats","City","CloudClipboard","CompanyName","ConsentProvidedForMinor","ContactFolders","Contacts","Country","CreatedDateTime","CreatedObjects","CreationType","CustomSecurityAttributes","DataSecurityAndGovernance","DeletedDateTime","Department","DeviceEnrollmentLimit","DeviceManagementTroubleshootingEvents","DirectReports","DisplayName","Drive","Drives","EmployeeExperience","EmployeeHireDate","EmployeeId","EmployeeLeaveDateTime","EmployeeOrgData","EmployeeType","Events","Extensions","ExternalUserState","ExternalUserStateChangeDateTime","FaxNumber","FollowedSites","GivenName","HireDate","Id","Identities","ImAddresses","InferenceClassification","Insights","Interests","IsManagementRestricted","IsResourceAccount","JobTitle","JoinedTeams","LastPasswordChangeDateTime","LegalAgeGroupClassification","LicenseAssignmentStates","LicenseDetails","Mail","MailFolders","MailNickname","MailboxSettings","ManagedAppRegistrations","ManagedDevices","Manager","MemberOf","Messages","MobilePhone","MySite","Oauth2PermissionGrants","OfficeLocation","OnPremisesDistinguishedName","OnPremisesDomainName","OnPremisesExtensionAttributes","OnPremisesImmutableId","OnPremisesLastSyncDateTime","OnPremisesProvisioningErrors","OnPremisesSamAccountName","OnPremisesSecurityIdentifier","OnPremisesSyncEnabled","OnPremisesUserPrincipalName","Onenote","OnlineMeetings","OtherMails","Outlook","OwnedDevices","OwnedObjects","PasswordPolicies","PasswordProfile","PastProjects","People","PermissionGrants","Photo","Photos","Planner","PostalCode","PreferredDataLocation","PreferredLanguage","PreferredName","Presence","Print","ProvisionedPlans","ProxyAddresses","RegisteredDevices","Responsibilities","Schools","ScopedRoleMemberOf","SecurityIdentifier","ServiceProvisioningErrors","Settings","ShowInAddressList","SignInActivity","SignInSessionsValidFromDateTime","Skills","Solutions","Sponsors","State","StreetAddress","Surname","Teamwork","Todo","TransitiveMemberOf","UsageLocation","UserPrincipalName","UserType","AdditionalProperties"
,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuthentication","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuthorizationInfo",,"System.String[]","Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCloudClipboardRoot",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCustomSecurityAttributeValue","Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserDataSecurityAndGovernance",,,,,,"Nora Reed","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphEmployeeExperienceUser",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphEmployeeOrgData",,,,,,,,,,"548a8872-e122-4135-a2cf-fa7c6be7a5a6",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphInferenceClassification","Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemInsights",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphMailboxSettings",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesExtensionAttributes",,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOutlookUser",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPasswordProfile",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerUser",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPresence","Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserPrint",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserSettings",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInActivity",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserSolutionRoot",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserTeamwork","Microsoft.Graph.PowerShell.Models.MicrosoftGraphTodo",,,"NReed@DataSciDani.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NReed@DataSciDani.onmicrosoft.com",,
,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuthentication","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuthorizationInfo",,"System.String[]","Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCloudClipboardRoot",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCustomSecurityAttributeValue","Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserDataSecurityAndGovernance",,,,,,"Oscar Cook","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphEmployeeExperienceUser",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphEmployeeOrgData",,,,,,,,,,"b0c50479-0917-4d9f-8239-6cd2d169b8f1",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphInferenceClassification","Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemInsights",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphMailboxSettings",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesExtensionAttributes",,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOutlookUser",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPasswordProfile",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerUser",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPresence","Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserPrint",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserSettings",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInActivity",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserSolutionRoot",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserTeamwork","Microsoft.Graph.PowerShell.Models.MicrosoftGraphTodo",,,"OCook@DataSciDani.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OCook@DataSciDani.onmicrosoft.com",,
,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuthentication","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuthorizationInfo",,"System.String[]","Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCloudClipboardRoot",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCustomSecurityAttributeValue","Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserDataSecurityAndGovernance",,,,,,"Penny Bell","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphEmployeeExperienceUser",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphEmployeeOrgData",,,,,,,,,,"6b83cc10-0160-4c57-b0ea-afe7e61770a7",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphInferenceClassification","Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemInsights",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphMailboxSettings",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesExtensionAttributes",,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOutlookUser",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPasswordProfile",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerUser",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPresence","Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserPrint",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserSettings",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInActivity",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserSolutionRoot",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserTeamwork","Microsoft.Graph.PowerShell.Models.MicrosoftGraphTodo",,,"PBell@DataSciDani.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PBell@DataSciDani.onmicrosoft.com",,
,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuthentication","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuthorizationInfo",,"System.String[]","Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCloudClipboardRoot",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCustomSecurityAttributeValue","Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserDataSecurityAndGovernance",,,,,,"Quincy Morgan","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphEmployeeExperienceUser",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphEmployeeOrgData",,,,,,,,,,"b8757dc6-4cd1-4a8b-8ef6-0eb001aaa0b6",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphInferenceClassification","Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemInsights",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphMailboxSettings",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesExtensionAttributes",,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOutlookUser",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPasswordProfile",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerUser",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPresence","Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserPrint",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserSettings",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInActivity",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserSolutionRoot",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserTeamwork","Microsoft.Graph.PowerShell.Models.MicrosoftGraphTodo",,,"QMorgan@DataSciDani.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QMorgan@DataSciDani.onmicrosoft.com",,
,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuthentication","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuthorizationInfo",,"System.String[]","Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCloudClipboardRoot",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCustomSecurityAttributeValue","Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserDataSecurityAndGovernance",,,,,,"Rose Murphy","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphEmployeeExperienceUser",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphEmployeeOrgData",,,,,,,,,,"2c1742d9-beca-4d63-ab36-0d6396c24fc9",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphInferenceClassification","Microsoft.Graph.PowerShell.Models.MicrosoftGraphItemInsights",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphMailboxSettings",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesExtensionAttributes",,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOutlookUser",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPasswordProfile",,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerUser",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPresence","Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserPrint",,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserSettings",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphSignInActivity",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserSolutionRoot",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphUserTeamwork","Microsoft.Graph.PowerShell.Models.MicrosoftGraphTodo",,,"RMurphy@DataSciDani.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RMurphy@DataSciDani.onmicrosoft.com",,
